【Hero.csv】
ID,ScriptName,CNName,FirstName,SecondName,EnglishName,ClanID,CultureID,GenerateType,AppearanceID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,string,string,string,string,string,string,cultureID,string,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骑砍ID,剧本中文名,简体中文名,姓氏,名,罗马音名,家族ID,文化,生成类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派
lord_1_aki,安藝國虎,安艺国虎,安艺,国虎,Aki Kunitora,clan_aki_1,nankai,精确匹配织丰,,1530,1554,1569,战死,,,,,,全职种,40,40,性急,勇敢,理想,轻率,重视情义,67,南蛮物,贪心,嗜酒如命,其他,刀剑,66,60,39,35,34,1,2,1,0,1,1,2,1,1,0,1,0,0,0,0,0,无,强袭,无,无要求,,,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已登场,安艺国虎,浪人,其他,无,府内之町,无
lord_1_akita_sanesue,秋田實季,秋田实季,秋田,实季,Akita Sanesue,clan_akita_1,ou,基于分组自动创建家族,,1576,1590,1659,战死,安东爱季,56,,,安东爱季,全职种,21,21,普通,胆小,现实,慎重,普通,47,艺术品,普通,普通,其他,刀剑,58,46,55,62,59,0,1,1,0,0,0,1,0,0,1,2,1,2,2,3,0,无,强袭,无,一般条件,,,未登场,安东实季,部将,直臣,安东家,桧山城,无,未登场,安东实季,部将,陪臣（安东爱季）,安东家,桧山城,无,未登场,安东实季,部将,陪臣（安东爱季）,安东家,桧山城,无,未登场,安东实季,部将,陪臣（安东爱季）,安东家,桧山城,无,未登场,安东实季,部将,直臣,安东家,桧山城,无,未登场,安东实季,部将,直臣,安东家,桧山城,无,未登场,安东实季,部将,直臣,安东家,凑城,无,已登场,秋田实季,大名,首领,秋田家,桧山城,无,已登场,安东实季,足轻大将,直臣,东乡家,盛冈城,无
lord_1_akiyama_torashige,秋山虎繁,秋山虎繁,秋山,虎繁,Akiyama Torashige,clan_akiyama_1,tosan,基于分组自动创建家族,,1531,1554,1575,战死,,,,,,只限武将,60,60,普通,普通,现实,普通,普通,33,武具,普通,嗜酒如命,源氏,刀剑,75,65,59,70,69,2,2,1,1,1,1,1,2,0,1,0,0,2,1,0,1,无,强袭，二连苦无,无,一般条件,,,已登场,秋山虎繁,足轻大将,直臣,武田家,踯躅崎馆,无,已登场,秋山虎繁,侍大将,直臣,武田家,踯躅崎馆,无,已登场,秋山虎繁,侍大将,直臣,武田家,踯躅崎馆,无,已登场,秋山虎繁,侍大将,直臣,武田家,踯躅崎馆,无,已登场,秋山虎繁,城主,直臣,武田家,岩村城,无,已死亡,秋山虎繁,无效,无效,无,无效,无,已死亡,秋山虎繁,无效,无效,无,无效,无,已死亡,秋山虎繁,无效,无效,无,无效,无,已登场,秋山虎繁,中忍,直臣,伊贺众,伊贺之里,无
lord_1_akechi_6,明智秀滿,明智秀满,明智,秀满,Akechi Hidemitsu,clan_akechi_1,tosan,精确匹配织丰,,1537,1554,1582,战死,,,,,,全职种,0,60,普通,勇敢,理想,慎重,重视情义,26,武具,无欲,普通,源氏,刀剑,64,57,42,51,73,2,1,2,1,2,1,2,1,2,0,1,2,2,2,2,2,无,强袭，刚弓,无,一般条件,,,未登场,明智秀满,足轻组头,陪臣（明智光秀）,斋藤家,稻叶山城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,斋藤家,稻叶山城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,朝仓家,一乘谷城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,织田家,岐阜城,无,已登场,明智秀满,足轻大将,陪臣（明智光秀）,织田家,坂本城,无,已登场,明智秀满,足轻大将,陪臣（明智光秀）,织田家,丹波龟山城,无,已死亡,明智秀满,无效,无效,无,无效,无,已死亡,明智秀满,无效,无效,无,无效,无,已登场,明智秀满,浪人,其他,无,奈良之町,无
lord_1_akechi,明智光秀,明智光秀,明智,光秀,Akechi Mitsuhide,clan_akechi_1,tosan,精确匹配织丰,,1528,1554,1582,战死,,,明智光继,###,明智光安,只限武将,0,56,温和,胆小,理想,轻率,不重情义,94,南蛮物,普通,滴酒不沾,源氏,火绳枪,89,78,86,90,82,4,3,4,1,3,3,4,2,2,2,2,3,4,4,3,2,齐攻，枪炮乱射，激励,强袭，连续斩，拔突，二连苦无，急所击，二挺击，刚弓，石火，乱射，刚力，铁壁，丢钱，克己,火枪名人，策士，雄辩,不可,,主角丰臣秀吉，山崎之战胜利,已登场,明智光秀,侍大将,直臣,斋藤家,稻叶山城,无,已登场,明智光秀,侍大将,直臣,斋藤家,稻叶山城,无,已登场,明智光秀,侍大将,直臣,朝仓家,一乘谷城,无,已登场,明智光秀,部将,直臣,织田家,岐阜城,无,已登场,明智光秀,城主,直臣,织田家,坂本城,无,已登场,明智光秀,国主,直臣,织田家,丹波龟山城,无,已死亡,明智光秀,无效,无效,无,无效,无,已死亡,明智光秀,无效,无效,无,无效,无,已登场,明智光秀,浪人,其他,无,奈良之町,无
lord_1_azai_ujitsuna,淺井井賴,浅井井赖,浅井,井赖,Azai Ujitsuna,clan_azai_1,kinai,家族和文化自动推断,,1573,1587,1615,病死,浅井长政,16,浅井久政,17,浅井长政 浅井久政,全职种,49,49,普通,勇敢,理想,慎重,重视情义,55,武具,无欲,普通,源氏,刀剑,56,61,51,53,70,1,0,1,2,1,2,0,0,1,0,1,0,1,1,1,1,无,强袭，拔突，铁壁,无,无要求,,,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,陪臣（浅井长政）,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,足轻组头,直臣,浅井家,小谷城,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,未登场,浅井井赖,浪人,其他,无,长滨之町,无,已登场,浅井井赖,足轻组头,直臣,生驹家,高松城,无,已登场,浅井井赖,浪人,其他,无,龟山之町,无
lord_1_azai,淺井長政,浅井长政,浅井,长政,Azai Nagamasa,clan_azai_1,kinai,精确匹配织丰,,1545,1559,1573,战死,浅井久政,17,,,浅井井赖 浅井久政,只限武将,72,72,性急,胆小,理想,轻率,不重情义,81,武具,贪心,普通,源氏,刀剑,87,75,65,49,80,2,2,1,1,1,1,1,0,1,1,1,1,1,0,1,0,无,强袭,无,一般条件,海赤雨三将 海北纲亲/赤尾清纲/雨森弥兵卫,,未登场,浅井长政,家老,直臣,浅井家,小谷城,无,未登场,浅井长政,部将,陪臣（浅井久政）,浅井家,小谷城,无,已登场,浅井长政,大名,首领,浅井家,小谷城,无,已登场,浅井长政,大名,首领,浅井家,小谷城,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已死亡,浅井长政,无效,无效,无,无效,无,已登场,浅井长政,浪人,其他,无,长滨之町,无
lord_1_azai_2,淺井久政,浅井久政,浅井,久政,Azai Hisamasa,clan_azai_1,kinai,精确匹配织丰,,1526,1554,1573,战死,,,,,浅井井赖 浅井长政,只限武将,55,55,温和,胆小,现实,慎重,普通,31,艺术品,贪心,滴酒不沾,源氏,刀剑,44,29,59,55,46,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,无,强袭,无,一般条件,,,已登场,浅井久政,大名,首领,浅井家,小谷城,无,已登场,浅井久政,大名,首领,浅井家,小谷城,无,已登场,浅井久政,家老,直臣,浅井家,小谷城,无,已登场,浅井久政,家老,直臣,浅井家,小谷城,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已死亡,浅井久政,无效,无效,无,无效,无,已登场,浅井久政,浪人,其他,无,浦户之町,无
lord_1_asakura_2,朝倉景鏡,朝仓景镜,朝仓,景镜,Asakura Kageakira,clan_asakura_1,hokuriku,精确匹配织丰,,1535,1554,1574,战死,,,朝仓贞景,###,朝仓义景,全职种,45,45,性急,普通,现实,慎重,不重情义,71,艺术品,普通,普通,其他,刀剑,59,46,45,72,44,1,1,1,1,0,1,2,1,0,0,0,0,1,1,1,1,无,强袭,无,无要求,,,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景镜,侍大将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已死亡,朝仓景镜,无效,无效,无,无效,无,已登场,朝仓景镜,浪人,其他,无,大凑之町,无
lord_1_asakura_morinari,朝倉景健,朝仓景健,朝仓,景健,Asakura Morinari,clan_asakura_1,hokuriku,家族和文化自动推断,,1541,1555,1575,战死,,,,,,全职种,50,50,普通,胆小,现实,普通,普通,40,艺术品,无欲,普通,其他,刀剑,62,65,49,33,45,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,无,强袭,无,无要求,,,未登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,未登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景健,部将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已死亡,朝仓景健,无效,无效,无,无效,无,已登场,朝仓景健,浪人,其他,无,京之町,无
lord_1_asakura_ryosei,朝倉景恒,朝仓景恒,朝仓,景恒,Asakura Ryosei,clan_asakura_1,hokuriku,家族和文化自动推断,,1527,1554,1571,病死,,,朝仓宗滴,22,朝仓宗滴,只限武将,50,50,温和,普通,普通,普通,普通,21,书籍,无欲,嗜酒如命,其他,刀剑,59,60,34,41,36,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,无,强袭,无,无要求,,,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓景恒,家老,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已死亡,朝仓景恒,无效,无效,无,无效,无,已登场,朝仓景恒,浪人,其他,无,奈良之町,无
lord_1_asakura_tadamasa,朝倉景連,朝仓景连,朝仓,景连,Asakura Tadamasa,clan_asakura_1,hokuriku,家族和文化自动推断,,1502,1554,1570,战死,,,,,,只限武将,50,50,温和,胆小,普通,慎重,普通,40,书籍,贪心,普通,其他,刀剑,56,58,52,66,53,1,0,0,0,0,0,1,0,2,2,1,1,1,1,1,1,无,强袭,无,无要求,,,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已登场,朝仓景连,部将,直臣,朝仓家,一乘谷城,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已死亡,朝仓景连,无效,无效,无,无效,无,已登场,朝仓景连,浪人,其他,无,鹿岛之町,无
lord_1_asakura_kakubei,朝倉宗滴,朝仓宗滴,朝仓,宗滴,Asakura Kakubei,clan_asakura_1,hokuriku,家族和文化自动推断,,1477,1554,1555,病死,,,,,朝仓景恒,只限武将,30,30,普通,普通,普通,轻率,重视情义,29,武具,无欲,普通,其他,枪,88,79,58,69,69,3,4,1,1,2,2,3,1,1,0,1,0,3,1,1,0,无,强袭，拔突，刚弓，铁壁,无,一般条件,,,已登场,朝仓宗滴,家老,直臣,朝仓家,一乘谷城,无,已登场,朝仓宗滴,家老,直臣,朝仓家,一乘谷城,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已死亡,朝仓宗滴,无效,无效,无,无效,无,已登场,朝仓宗滴,浪人,其他,无,安土之町,无
lord_1_asakura,朝倉義景,朝仓义景,朝仓,义景,Asakura Yoshikage,clan_asakura_1,hokuriku,精确匹配织丰,,1533,1554,1573,战死,,,朝仓贞景,###,朝仓景镜,只限武将,50,50,普通,胆小,现实,慎重,不重情义,61,南蛮物,贪心,滴酒不沾,其他,刀剑,42,19,51,34,49,0,1,1,0,0,0,0,0,1,1,1,1,3,1,2,1,威风凛凛,强袭,无,一般条件,,,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已登场,朝仓义景,大名,首领,朝仓家,一乘谷城,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已死亡,朝仓义景,无效,无效,无,无效,无,已登场,朝仓义景,浪人,其他,无,鹿儿岛之町,无
lord_1_asano_nagashige,淺野長晟,浅野长晟,浅野,长晟,Asano Nagashige,clan_asano_1,tokai,基于分组自动创建家族,,1586,1599,1632,病死,浅野长政,25,,,浅野长政 浅野幸长,全职种,5,5,普通,普通,普通,普通,普通,55,书籍,普通,普通,源氏,刀剑,54,69,51,49,53,1,2,1,1,1,2,1,0,1,2,1,1,1,1,1,2,无,强袭，拔突，铁壁,无,无要求,,,未登场,浅野长晟,足轻组头,陪臣（浅野长吉）,织田家,那古野城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长吉）,织田家,清洲城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长吉）,织田家,清洲城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长吉）,织田家,岐阜城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长政）,织田家,岐阜城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长政）,织田家,姬路城,无,未登场,浅野长晟,足轻组头,陪臣（浅野长政）,羽柴家,坂本城,无,已登场,浅野长晟,家老,直臣,浅野家,甲府城,无,已登场,浅野长晟,浪人,其他,无,长滨之町,无
